                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0462,                 1.7026,                 1.4332,                0.09551,                0.35985,                0.07018,                0.02986,                 1.7906,                 46.157,                 3.0296,             0.00055011,             0.00055011,             0.00055011
                      2,                  1.132,                 1.6549,                 1.4953,                0.15054,                0.26712,                0.10785,                0.04947,                 1.9829,                 10.243,                 2.5046,              0.0010948,              0.0010948,              0.0010948
                      3,                 1.0982,                 1.6024,                 1.4661,                0.24985,                0.32074,                0.16867,                0.09361,                 1.5847,                 4.0598,                 1.9656,              0.0016285,              0.0016285,              0.0016285
                      4,                 1.0543,                 1.5386,                 1.4408,                0.16857,                 0.5305,                0.13998,                0.09252,                 1.0202,                 3.2137,                 1.4194,              0.0016175,              0.0016175,              0.0016175
                      5,                0.99985,                 1.4902,                 1.3961,                0.39669,                0.64367,                0.40367,                0.29952,                0.88516,                 1.9208,                 1.2665,              0.0016175,              0.0016175,              0.0016175
                      6,                0.95377,                 1.4225,                 1.3661,                0.39704,                0.60617,                0.44042,                0.32513,                0.86841,                 1.6438,                  1.223,               0.001601,               0.001601,               0.001601
                      7,                0.90068,                 1.3507,                 1.3271,                0.41018,                0.68173,                0.46355,                 0.3545,                 0.7887,                 1.4825,                  1.188,              0.0015845,              0.0015845,              0.0015845
                      8,                 0.8647,                 1.3176,                 1.3103,                0.44615,                0.74383,                0.50621,                0.39875,                0.72098,                 1.2403,                 1.1269,               0.001568,               0.001568,               0.001568
                      9,                0.85377,                 1.2899,                 1.2975,                0.44319,                0.70894,                0.48792,                0.37029,                0.76544,                 1.3328,                 1.1737,              0.0015515,              0.0015515,              0.0015515
                     10,                0.81712,                 1.2542,                 1.2754,                0.44839,                0.53353,                0.44967,                0.33516,                0.82082,                  1.591,                 1.1958,               0.001535,               0.001535,               0.001535
                     11,                0.79869,                 1.2164,                 1.2569,                0.48255,                 0.6802,                0.53845,                0.43084,                0.72678,                 1.2207,                 1.1231,              0.0015185,              0.0015185,              0.0015185
                     12,                0.76489,                  1.191,                 1.2399,                0.56442,                0.64385,                0.61776,                0.50325,                0.65289,                 1.1598,                 1.0666,               0.001502,               0.001502,               0.001502
                     13,                0.79334,                  1.196,                 1.2471,                 0.4943,                0.69278,                0.59168,                 0.4739,                0.70711,                  1.176,                 1.0986,              0.0014855,              0.0014855,              0.0014855
                     14,                0.75805,                 1.1449,                 1.2294,                0.43405,                0.62612,                0.48904,                0.35897,                0.80156,                 1.5025,                 1.1616,               0.001469,               0.001469,               0.001469
                     15,                0.74937,                  1.133,                 1.2198,                0.58781,                  0.691,                0.64199,                0.51402,                0.68568,                 1.0894,                 1.0644,              0.0014525,              0.0014525,              0.0014525
                     16,                0.73128,                  1.107,                 1.2144,                0.45894,                0.63605,                0.54759,                0.44651,                0.61361,                 1.4126,                 1.0421,               0.001436,               0.001436,               0.001436
                     17,                0.72515,                 1.0961,                 1.2069,                0.56386,                0.69369,                 0.6447,                 0.5374,                0.59645,                 1.1428,                 1.0281,              0.0014195,              0.0014195,              0.0014195
                     18,                0.72882,                 1.0707,                 1.2021,                0.58925,                0.70117,                0.65408,                0.53725,                0.63336,                 1.0398,                 1.0454,              0.0014029,              0.0014029,              0.0014029
                     19,                 0.7367,                 1.0835,                 1.2178,                0.56582,                0.63888,                0.61468,                0.50114,                0.63605,                 1.1552,                  1.057,              0.0013864,              0.0013864,              0.0013864
                     20,                0.68038,                 1.0233,                 1.1727,                 0.5453,                0.74043,                0.68905,                0.57776,                0.56921,                 1.1071,                 1.0094,              0.0013699,              0.0013699,              0.0013699
                     21,                0.68805,                 1.0146,                 1.1741,                 0.5869,                0.71147,                0.67837,                0.57022,                0.59076,                 1.0298,                 1.0307,              0.0013534,              0.0013534,              0.0013534
                     22,                0.67466,                0.99315,                 1.1657,                0.63714,                0.70014,                0.69605,                0.57804,                0.59864,                 1.0057,                 1.0521,              0.0013369,              0.0013369,              0.0013369
                     23,                0.66476,                  0.964,                 1.1652,                0.60637,                0.67696,                 0.6826,                0.57429,                0.62557,                 1.0629,                 1.0423,              0.0013204,              0.0013204,              0.0013204
                     24,                0.67074,                0.93075,                 1.1637,                0.62276,                0.71322,                0.68733,                0.57321,                0.59225,                0.99636,                 1.0406,              0.0013039,              0.0013039,              0.0013039
                     25,                0.67644,                0.94513,                  1.171,                0.62625,                0.70267,                0.69746,                0.58411,                 0.5832,                0.97323,                 1.0381,              0.0012874,              0.0012874,              0.0012874
                     26,                 0.6439,                0.89104,                 1.1487,                0.59825,                0.73793,                0.72199,                 0.6045,                0.57698,                0.96456,                 1.0301,              0.0012709,              0.0012709,              0.0012709
