                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0448,                 4.2095,                 3.7527,                 2.0826,                0.00319,                0.10762,                0.00166,                0.00054,                0.00138,                0.01831,                0.00063,                0.00017,                    nan,                    nan,                    nan,                    nan,             0.00046472,             0.00046472,             0.00046472
                      2,                 2.2135,                 3.9842,                 3.3094,                 2.2193,                  5e-05,                0.00636,                  4e-05,                  1e-05,                  5e-05,                0.00636,                  4e-05,                  1e-05,                    nan,                    nan,                    nan,                    nan,             0.00093173,             0.00093173,             0.00093173
                      3,                 2.2985,                 4.1636,                  3.342,                 2.2683,                0.00137,                0.02019,                 0.0005,                0.00013,                0.00023,                0.01083,                  9e-05,                  2e-05,                 3.9512,                 15.299,                 57.587,                 6.0632,              0.0013893,              0.0013893,              0.0013893
                      4,                 2.3556,                 4.1619,                 3.3563,                  2.304,                0.33943,                0.01495,                0.00222,                0.00101,                0.35871,                0.00412,                0.00202,                0.00059,                 3.9464,                 40.211,                 14.489,                 4.4372,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.2751,                 4.0941,                 3.3133,                 2.2681,                0.34451,                 0.0179,                0.00343,                0.00113,                 0.3438,                0.01454,                0.00174,                0.00041,                 3.0882,                 5.4046,                 5.3031,                  3.335,              0.0013866,              0.0013866,              0.0013866
                      6,                 2.1806,                  4.037,                 3.2309,                 2.2084,                0.39205,                0.07342,                0.02021,                0.00595,                0.36658,                0.03179,                0.00729,                0.00262,                 2.7471,                 4.9789,                 3.6819,                 2.8426,              0.0013724,              0.0013724,              0.0013724
                      7,                 2.2079,                 3.9636,                 3.1882,                 2.1939,                0.36058,                0.04428,                0.01213,                0.00349,                0.35328,                  0.057,                0.00609,                 0.0014,                 2.7788,                 7.0279,                 4.0089,                 2.8033,              0.0013583,              0.0013583,              0.0013583
                      8,                 2.1331,                 3.9034,                  3.096,                 2.1325,                0.36345,                0.09832,                0.02137,                0.00619,                0.39425,                0.03403,                0.01873,                0.00493,                 2.4866,                 4.5533,                 6.2594,                 2.7006,              0.0013441,              0.0013441,              0.0013441
                      9,                 2.1186,                 3.8297,                 2.9899,                 2.1027,                 0.3558,                0.07359,                0.01496,                0.00517,                0.36426,                0.04227,                 0.0113,                0.00364,                 2.4518,                 4.9468,                  4.926,                 2.5589,                0.00133,                0.00133,                0.00133
                     10,                 2.0367,                 3.7298,                 2.9505,                 2.0291,                 0.3908,                 0.1333,                0.03049,                0.01131,                0.39061,                0.10081,                0.02337,                0.00802,                 2.2823,                 4.2937,                 4.7697,                 2.3642,              0.0013158,              0.0013158,              0.0013158
                     11,                 2.0245,                 3.7032,                 2.9423,                 2.0314,                0.41191,                0.10975,                 0.0402,                0.01697,                 0.4087,                0.08029,                0.02939,                0.00926,                 2.1968,                 4.1336,                 3.5652,                 2.3198,              0.0013017,              0.0013017,              0.0013017
                     12,                  1.975,                 3.6362,                 2.8757,                 2.0109,                0.39714,                 0.0764,                0.04139,                0.01466,                0.39336,                0.08078,                0.03369,                0.01109,                 2.2154,                 4.2508,                  3.334,                 2.3415,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.9608,                 3.6048,                 2.7825,                 1.9885,                0.45053,                0.12883,                 0.0671,                0.02934,                0.44453,                0.11499,                0.05808,                0.02396,                 2.2296,                  3.838,                  2.979,                 2.3197,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.8792,                 3.5038,                 2.7264,                 1.9216,                0.39963,                0.15362,                0.04913,                0.01991,                0.42239,                0.08543,                0.04329,                0.01648,                 2.1695,                 3.9109,                 3.2386,                 2.3128,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.8821,                   3.48,                 2.7165,                 1.9242,                0.45472,                0.17576,                0.07315,                0.02807,                0.45758,                 0.1585,                0.06777,                0.02394,                 2.0929,                 3.7991,                 2.9788,                 2.2479,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.8674,                 3.4412,                 2.6702,                 1.9037,                0.11707,                0.14697,                0.06513,                0.02656,                0.12538,                0.13118,                0.05671,                0.01863,                   2.16,                 3.9455,                 3.0584,                 2.3893,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.8231,                 3.4199,                 2.6288,                 1.8826,                0.44012,                0.15314,                0.06706,                 0.0256,                0.45671,                0.13407,                0.06108,                0.02336,                 2.1437,                 3.8529,                 2.9179,                 2.2194,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.7857,                 3.3595,                  2.584,                  1.851,                0.47574,                0.16347,                0.10962,                 0.0531,                0.50102,                0.13247,                0.10504,                0.04289,                 2.0735,                 3.6383,                 2.7228,                 2.2161,              0.0012026,              0.0012026,              0.0012026
